ID,CONST,DE ,HD+DLC,AoC,Description
778,,Canoe,Canoe,Attila the Hun (Dead),
779,BLEDA_THE_HUN,Bleda the Hun,Bleda the Hun,Bleda the Hun,
780,,Llama (Dead),Llama (Dead),Bleda the Hun (Dead),
781,POPE_LEO_I,Pope Leo I,Pope Leo I,Pope Leo I,Hero Monk Western
782,,Pope Leo I (Dead),Pope Leo I (Dead),Pope Leo I (Dead),
783,SCYTHIAN_WILD_WOMAN,Scythian Wild Woman,Scythian Wild Woman,Scythian Wild Woman,
784,,Scythian Wild Woman (Dead),Scythian Wild Woman (Dead),Scythian Wild Woman (Dead),
785,SEA_TOWER,Sea Tower,Sea Tower,Sea Tower,constant only defined in DE
786,,Projectile Sea Tower,Projectile Sea Tower,Projectile Sea Tower,
787,,Projectile Sea Tower (Fire),Projectile Sea Tower (Fire),Projectile Sea Tower (Fire),
788,,Sea Wall,Sea Wall,Sea Wall,
789,,Palisade Gate (up.),Palisade Gate,Sea Gate,
790,,Palisade Gate,Palisade Gate,Sea Gate,
791,,Palisade Gate,Palisade Gate,Sea Gate,
792,,Palisade Gate,Palisade Gate,Sea Gate,
793,,Palisade Gate (down.),Palisade Gate,Sea Gate,
794,,Palisade Gate,Palisade Gate,Sea Gate,
795,,Palisade Gate,Palisade Gate,Sea Gate,
796,,Palisade Gate,Palisade Gate,Sea Gate,
797,,Palisade Gate (hori.),Palisade Gate,Sea Gate,
798,,Palisade Gate,Palisade Gate,Sea Gate,
799,,Palisade Gate,Palisade Gate,Sea Gate,
800,,Palisade Gate,Palisade Gate,Sea Gate,
801,,Palisade Gate (vert.),Palisade Gate,Sea Gate,
802,,Palisade Gate,Palisade Gate,Sea Gate,
803,,Palisade Gate,Palisade Gate,Sea Gate,
804,,Palisade Gate,Palisade Gate,Sea Gate,
805,,Dock,Dock,Dock,Dark age
806,,Dock,Dock,Dock,Feudal age
807,,Dock,Dock,Dock,Castle age
808,,Dock,Dock,Dock,Imperial age
809,STUMP,Stump,Stump,Stump,
810,IRON_BOAR,Iron Boar,Iron Boar,Iron Boar,
811,,Iron Boar (Dead),Iron Boar (Dead),Iron Boar (Dead),
812,JAGUAR,Jaguar,Jaguar,Jaguar,Predator like wolf
813,,Jaguar (Dead),Jaguar (Dead),Jaguar (Dead),
814,HORSE,Horse A,Horse,Horse,
815,,Horse (Dead),Horse (Dead),Horse (Dead),
816,MACAW,Macaw,Macaw,Macaw,
817,STATUE,Statue A,Statue,Statue,
818,"PLANTS, PLANT",Plant,Plant,Plant,
819,SIGN,Sign,Sign,Sign,
820,GRAVE,Grave,Grave,Grave,
821,HEAD,Head,Head,Head,
822,JAVELINA,Javelina,Javelina,Javelina,"like boar, but only 300 food"
823,,Javelina (Dead),Javelina (Dead),Javelina (Dead),
824,EL_CID_CAMPEADOR,El Cid Campeador,El Cid Campeador,El Cid Campeador,
825,,Amazon Warrior,Amazon Warrior,El Cid Campeador (Dead),
826,MONUMENT,Monument,Monument,Monument,for King of The Hill
827,WAR_WAGON,War Wagon,War Wagon,War Wagon,
828,,War Wagon (Dead),War Wagon (Dead),War Wagon (Dead),
829,ELITE_WAR_WAGON,Elite War Wagon,Elite War Wagon,Elite War Wagon,
830,,Elite War Wagon (Dead),Elite War Wagon (Dead),Elite War Wagon (Dead),
831,TURTLE_SHIP,Turtle Ship,Turtle Ship,Turtle Ship,
832,ELITE_TURTLE_SHIP,Elite Turtle Ship,Elite Turtle Ship,Elite Turtle Ship,
833,TURKEY,Turkey,Turkey,Turkey,
834,,Turkey (Dead),Turkey (Dead),Turkey (Dead),
835,WILD_HORSE,Wild Horse,Wild Horse,Wild Horse,
836,,Wild Horse (Dead),Wild Horse (Dead),Wild Horse (Dead),
837,MAP_REVEALER,Map Revealer,Map Revealer,Map Revealer,
838,KING_SANCHO,King Sancho,King Sancho,King Sancho,
839,,Rock (Stone),Rock (Stone),King Sancho (Dead),Rocks (turn into stone when attacked by villagers)
840,KING_ALFONSO,King Alfonso,King Alfonso,King Alfonso,
841,,Rock (Gold),Rock (Gold),King Alfonso (Dead),Rocks (turn into gold when attacked by villagers)
842,IMAM,Imam,Imam,Imam,
843,,Cow (Dead),Cow (Dead),Imam (Dead),
844,ADMIRAL_YI_SUN_SHIN,Admiral Yi Sun-shin,Admiral Yi Sun-shin,Admiral Yi Sun-shin,Hero turtle ship
845,NOBUNAGA,Nobunaga,Nobunaga,Nobunaga,
846,,Donkey,Donkey,Nobunaga (Dead),can be used like a trade cart
847,HENRY_V,Henry V,Henry V,Henry V,
848,,Donkey (Dead),Donkey (Dead),Henry V (Dead),
849,WILLIAM_THE_CONQUEROR,William the Conqueror,William the Conqueror,William the Conqueror,
850,,Amazon Archer,Amazon Archer,William the Conqueror (Dead),
851,ES_FLAG,ES Flag,ES Flag,ES Flag,
852,SCYTHIAN_SCOUT,Scythian Scout,Scythian Scout,Scythian Scout,Hero light cavalry
853,,Scythian Scout (Dead),Scythian Scout (Dead),Scythian Scout (Dead),
854,TORCH_CONVERTING,Torch A (Convertable),Torch A (Convertable),Torch A (Convertable),
855,OLD_STONE_HEAD,Old Stone Head,Old Stone Head,Old Stone Head,
856,ROMAN_RUINS,Roman Ruins,Roman Ruins,Roman Ruins,
857,HAY_STACK,Hay Stack,Hay Stack,Hay Stack,
858,BROKEN_CART,Broken Cart,Broken Cart,Broken Cart,
859,FLOWER_BED,Flower Bed,Flower Bed,Flower Bed,
860,,Furious the Monkey Boy,Furious the Monkey Boy,Furious the Monkey Boy,agressive like a wolf if given to gaia
861,,Furious the Monkey Boy (Dead),Furious the Monkey Boy (Dead),Furious the Monkey Boy (Dead),
862,,Stormy Dog,Stormy Dog,Stormy Dog,flying dog from the cheat
863,RUBBLE_1_X_1,Rubble 1 x 1,Rubble 1 x 1,Rubble 1 x 1,
864,RUBBLE_2_X_2,Rubble 2 x 2,Rubble 2 x 2,Rubble 2 x 2,
865,RUBBLE_3_X_3,Rubble 3 x 3,Rubble 3 x 3,Rubble 3 x 3,
866,,Genoese Crossbowman,Genoese Crossbowman,CRASH,
867,,Genoese Crossbowman (Dead),Genoese Crossbowman (Dead),CRASH,
868,,Elite Genoese Crossbowman,Elite Genoese Crossbowman,CRASH,
869,,Magyar Huszar,Magyar Huszar,CRASH,
870,,Magyar Huszar (Dead),Magyar Huszar (Dead),CRASH,
871,,Elite Magyar Huszar,Elite Magyar Huszar,CRASH,
872,,Quimper Cathedral,Quimter Cathederal,CRASH,
873,,Elephant Archer,Elephant Archer,CRASH,
874,,Elephant Archer (Dead),Elephant Archer (Dead),CRASH,
875,,Elite Elephant Archer,Elite Elephant Archer,CRASH,
876,,Boyar,Boyar,CRASH,
877,,Boyar (Dead),Boyar (Dead),CRASH,
878,,Elite Boyar,Elite Boyar,CRASH,
879,,Kamayuk,Kamayuk,CRASH,
880,,Kamayuk (Dead),Kamayuk (Dead),CRASH,
881,,Elite Kamayuk,Elite Kamayuk,CRASH,
882,,Condottiero,Condottiero,CRASH,
883,,Condottiero (Dead),Condottiero (Dead),CRASH,
884,DLC_WILD_CAMEL,Wild Camel,Wild Camel,CRASH,"no food, does not convert; constant only defined in DE"
885,,Siege Tower,Siege Tower,CRASH,"6 attack 6 garrison space, does not help units over walls"
886,,Tarkan,Tarkan,CRASH,stable version
887,,Elite Tarkan,Elite Tarkan,CRASH,stable version
888,,Llama building,Llama building,CRASH,
889,,Disable llama building,Disable llama building,CRASH,
890,,Empty llama annex,Empty llama annex,CRASH,
891,,Siege Tower (Dead),Siege Tower (Dead),CRASH,
892,,Heavy Pikeman,Heavy Pikeman,CRASH,
893,,Heavy Pikeman (Dead),Heavy Pikeman (Dead),CRASH,
894,,Eastern Swordsman,Eastern Swordsman,CRASH,
895,,Eastern Swordsman (Dead),Eastern Swordsman (Dead),CRASH,
896,,Waterfall,Waterfall,CRASH,
897,,Camel,Camel (Gaia),CRASH,"convertible, no food"
898,,Camel (Dead),Camel (Dead),CRASH,
899,,Arch of Constantine,Arch of Constantine,CRASH,
900,,Rain,Rain,CRASH,USE 1300+ VERSION INSTEAD
901,,Flag F,Flag F,CRASH,USE 1300+ VERSION INSTEAD
902,,Smoke,Smoke,CRASH,USE 1300+ VERSION INSTEAD
903,,-,CRASH,CRASH,
904,,Wooden Bridge A--Top,Wooden Bridge A--Top,CRASH,USE 1300+ VERSION INSTEAD
905,,Wooden Bridge A--Middle,Wooden Bridge A--Middle,CRASH,USE 1300+ VERSION INSTEAD
906,,Wooden Bridge A--Bottom,Wooden Bridge A--Bottom,CRASH,USE 1300+ VERSION INSTEAD
907,,Wooden Bridge B--Top,Wooden Bridge B--Top,CRASH,USE 1300+ VERSION INSTEAD
908,,Wooden Bridge B--Middle,Wooden Bridge B--Middle,CRASH,USE 1300+ VERSION INSTEAD
909,,Wooden Bridge B--Bottom,Wooden Bridge B--Bottom,CRASH,USE 1300+ VERSION INSTEAD
910,,Impaled Corpse,Impaled Corpse,CRASH,USE 1300+ VERSION INSTEAD
911,,BGAA,boardwalk (like 904),CRASH,USE 1300+ VERSION INSTEAD
912,,BGAB,boardwalk (like 905),CRASH,USE 1300+ VERSION INSTEAD
913,,BGAC,boardwalk (like 906),CRASH,USE 1300+ VERSION INSTEAD
914,,Quarry,Quarry,CRASH,USE 1300+ VERSION INSTEAD
915,,Lumber,Lumber,CRASH,USE 1300+ VERSION INSTEAD
916,,Goods,Goods,CRASH,USE 1300+ VERSION INSTEAD
917,,Vulture,Vulture,CRASH,USE 1300+ VERSION INSTEAD
918,,Rock 2,Rock 2,CRASH,USE 1300+ VERSION INSTEAD
919,,Amazon Warrior (Dead),Amazon Warrior (Dead),CRASH,USE 1300+ VERSION INSTEAD
920,,Amazon Archer (Dead),Amazon Archer (Dead),CRASH,USE 1300+ VERSION INSTEAD
921,,Imam (Dead),Imam (Dead),CRASH,USE 1300+ VERSION INSTEAD
922,,Monk with Relic,Monk with relic,CRASH,USE 1300+ VERSION INSTEAD
923,,Queen,Queen,CRASH,USE 1300+ VERSION INSTEAD
924,,Queen (Dead),Queen (Dead),CRASH,USE 1300+ VERSION INSTEAD
925,,Sanyogita,Sanyogita,CRASH,USE 1300+ VERSION INSTEAD
926,,Prithvi,Prithvi,CRASH,USE 1300+ VERSION INSTEAD
927,,Chand Bhai,Chand Bhai,CRASH,USE 1300+ VERSION INSTEAD
928,,Chand Bhai (Dead),Chand Bhai (Dead),CRASH,USE 1300+ VERSION INSTEAD
929,,Saladin,Saladin,CRASH,USE 1300+ VERSION INSTEAD
930,,Khosrau,Khosrau,CRASH,USE 1300+ VERSION INSTEAD
931,,Norse Chieftain,Jarl,CRASH,USE 1300+ VERSION INSTEAD
932,,Savar,Savaran,CRASH,USE 1300+ VERSION INSTEAD
933,,Barrels,Barrels,CRASH,USE 1300+ VERSION INSTEAD
934,,Alfred the Alpaca,Alfred the Alpaca,CRASH,USE 1300+ VERSION INSTEAD
935,,Alfred the Alpaca (Dead),Alfred the Alpaca (Dead),CRASH,USE 1300+ VERSION INSTEAD
936,,Elephant,Elephant,CRASH,USE 1300+ VERSION INSTEAD
937,,Elephant (Dead),Elephant (Dead),CRASH,USE 1300+ VERSION INSTEAD
938,,Dragon Ship,Dragon Ship,CRASH,USE 1300+ VERSION INSTEAD
939,,Flame 1,Flame 1,CRASH,USE 1300+ VERSION INSTEAD
940,,Flame 2,Flame 2,CRASH,USE 1300+ VERSION INSTEAD
941,,Flame 3,Flame 3,CRASH,USE 1300+ VERSION INSTEAD
942,,Flame 4,Flame 4,CRASH,USE 1300+ VERSION INSTEAD
943,,Osman,Osman,CRASH,USE 1300+ VERSION INSTEAD
944,,Relic Cart,Relic Cart,CRASH,USE 1300+ VERSION INSTEAD
945,,Shaw (Dead),Shaw (Dead),CRASH,USE 1300+ VERSION INSTEAD
946,,-,-,CRASH,
947,,-,-,CRASH,
948,,-,-,CRASH,
949,,-,-,CRASH,
950,,-,-,CRASH,
951,,-,-,CRASH,
952,,-,-,CRASH,
953,,-,-,CRASH,
954,,-,-,CRASH,
955,,-,-,CRASH,
956,,-,-,CRASH,
957,,-,-,CRASH,
958,,-,-,CRASH,
959,,-,-,CRASH,
960,,-,-,CRASH,
961,,-,-,CRASH,
962,,-,-,CRASH,
963,,-,-,CRASH,
964,,-,-,CRASH,
965,,-,-,CRASH,
966,,-,-,CRASH,
967,,-,-,CRASH,
968,,-,-,CRASH,
969,,-,-,CRASH,
970,,-,-,CRASH,
971,,-,-,CRASH,
972,,-,-,CRASH,
973,,-,-,CRASH,
974,,-,-,CRASH,
975,,-,-,CRASH,
976,,-,-,CRASH,
977,,-,-,CRASH,
978,,-,-,CRASH,
979,,-,-,CRASH,
980,,-,-,CRASH,
981,,-,-,CRASH,
982,,-,-,CRASH,
983,,-,-,CRASH,
984,,-,-,CRASH,
985,,-,-,CRASH,
986,,-,-,CRASH,
987,,-,-,CRASH,
988,,-,-,CRASH,
989,,-,-,CRASH,
990,,-,-,CRASH,
991,,-,-,CRASH,
992,,-,-,CRASH,
993,,-,-,CRASH,
994,,-,-,CRASH,
995,,-,-,CRASH,
996,,-,-,CRASH,
997,,-,-,CRASH,
998,,-,-,CRASH,
999,,-,-,CRASH,
1000,,-,-,CRASH,
1001,DLC_ORGANGUN,Organ Gun,Organ Gun,CRASH,
1002,,Organ Gun (Dead),Organ Gun (Dead),CRASH,
1003,DLC_ELITEORGANGUN,Elite Organ Gun,Elite Organ Gun,CRASH,
1004,DLC_CARAVEL,Caravel,Caravel,CRASH,
1005,,Organ Gun (Dead),Organ Gun (Dead),CRASH,
1006,DLC_ELITECARAVEL,Elite Caravel,Elite Caravel,CRASH,
1007,DLC_CAMELARCHER,Camel Archer,Camel Archer,CRASH,
1008,,Camel Archer (Dead),Camel Archer (Dead),CRASH,
1009,DLC_ELITECAMELARCHER,Elite Camel Archer,Elite Camel Archer,CRASH,
1010,DLC_GENITOUR,Genitour,Genitour,CRASH,
1011,,Genitour (Dead),Genitour (Dead),CRASH,
1012,DLC_ELITEGENITOUR,Elite Genitour,Elite Genitour,CRASH,
1013,DLC_GBETO,Gbeto,Gbeto,CRASH,
1014,,Gbeto (Dead),Gbeto (Dead),CRASH,
1015,DLC_ELITEGBETO,Elite Gbeto,Elite Gbeto,CRASH,
1016,DLC_SHOTELWARRIOR,Shotel Warrior,Shotel Warrior,CRASH,
1017,,Shotel Warrior (Dead),Shotel Warrior (Dead),CRASH,
1018,DLC_ELITESHOTELWARRIOR,Elite Shotel Warrior,Elite Shotel Warrior,CRASH,
1019,DLC_ZEBRA,Zebra,Zebra,CRASH,huntable like deer
1020,,Zebra (Dead),Zebra (Dead),CRASH,
1021,DLC_FEITORIA,Feitoria,Feitoria,CRASH,Portuguese building that generates resources
1022,,Monkboat,Monkboat,CRASH,Boat that converts enemies
1023,DLC_AOE1PRIEST,Priest,Priest,CRASH,Monk with AoE1 graphics
1024,,Priest (Dead),Priest (Dead),CRASH,
1025,,Priest with relic,Preist with relic,CRASH,
1026,DLC_OSTRICH,Ostrich,Ostrich,CRASH,huntable like deer
1027,,Ostrich (Dead),Ostrich (Dead),CRASH,
1028,DLC_STORK,Stork,Stork,CRASH,
1029,DLC_LION,Lion,Lion,CRASH,Predator like wolf
1030,,Lion (Dead),Lion (Dead),CRASH,
1031,DLC_CROCODILE,Crocodile,Crocodile,CRASH,Predator like wolf
1032,,Crocodile (Dead),Crocodile (Dead),CRASH,
1033,DLC_SAVANNAHPATCH,"Grass Patch, Dry",Savannah Grass Patch,CRASH,
1034,DLC_MUSA,Musa ibn Nusayr,Musa ibn Nusayr,CRASH,Hero Camel Archer
1035,DLC_SUNDJATA,Sundjata,Sundjata,CRASH,
1036,DLC_TARIQ,Tariq ibn Ziyad,Tariq ibn Ziyad,CRASH,
1037,DLC_RICHARDDECLARE,Richard de Clare,Richard de Clare,CRASH,Hero Light Cavalry
1038,DLC_TRISTAN,Tristan,Tristan,CRASH,Hero Magyar Huszar
1039,DLC_YODIT,Princess Yodit,Princess Yodit,CRASH,Hero Queen Western
1040,DLC_HENRY2,Henry II,Henry II,CRASH,Hero Two Handed Swordsman
1041,DLC_MOUNTAIN_5,Mountain 5,Mountain 5,CRASH,
1042,DLC_MOUNTAIN_6,Mountain 6,Mountain 6,CRASH,
1043,DLC_MOUNTAIN_7,Mountain 7,Mountain 7,CRASH,
1044,DLC_MOUNTAIN_8,Mountain 8,Mountain 8,CRASH,
1045,DLC_MOUNTAIN_9,Snow Mountain 1,Snow Mountain 1,CRASH,
1046,DLC_MOUNTAIN_10,Snow Mountain 2,Snow Mountain 2,CRASH,
1047,DLC_MOUNTAIN_11,Snow Mountain 3,Snow Mountain 3,CRASH,
1048,,Rock Formation 1,Rock Formation 1,CRASH,
1049,DLC_BOULDER_B,Rock Formation 2,Rock Formation 2,CRASH,
1050,DLC_BOULDER_C,Rock Formation 3,Rock Formation 3,CRASH,
1051,DLC_DRAGONTREE,Tree (Dragon),Dragon Tree,CRASH,
1052,DLC_BAOBABTREE,Tree (Baobab),Baobab Tree,CRASH,200 wood
1053,DLC_AFRICANBUSH,Bush B,Bush 2,CRASH,100 wood
1054,DLC_AFRICANBUSH_2,Bush C,Bush 3,CRASH,"snowy, 100 wood"
1055,,Projectile Knife,Projectile Knife,CRASH,
1056,,Falcon,Falcon,CRASH,like hawk
1057,,Projectile CVB,Projectile CVB,CRASH,
1058,,Projectile CVB (Fire),Projectile CVB (Fire),CRASH,
1059,DLC_ORANGEBUSH,Fruit Bush,Fruit Bush,CRASH,like forage bush
1060,DLC_GOAT,Goat,Goat,CRASH,herdable like sheep
1061,,Goat (Dead),Goat (Dead),CRASH,
1062,DLC_FENCE,Fence,Fence,CRASH,can be placed as wall
1063,DLC_ACACIATREE,Tree (Acacia),Acacia Tree,CRASH,
1064,DLC_YEKUNOAMLACK,Yekuno Amlak,Yekuno Amlak,CRASH,Hero Shotel Warrior
1065,,Fence (Rubble),wooden rubble 1x1,CRASH,
1066,DLC_WARRIORYODIT,Yodit,Yodit,CRASH,
1067,DLC_ITZCOATL,Itzcoatl,Itzcoatl,CRASH,
1068,DLC_MUSTAFA,Mustafa Pasha,Mustafa Pasha,CRASH,Hero Janissary
1069,DLC_PACAL2,Pacal II,Pacal II,CRASH,Hero Plumed Archer
1070,DLC_BABUR,Babur,Babur,CRASH,Hero Imperial Camel Rider
1071,DLC_ABRAHAELEPHANT,Abraha Elephant,Abraha Elephant,CRASH,Hero War Elephant
1072,DLC_GUGLIEMLO,Guglielmo Embriaco,Guglielmo Embriaco,CRASH,Hero Genoese Crossbowman
1073,DLC_SU_DINGFANG,Su Dingfang,Su Dingfang,CRASH,Hero Chu Ko Nu
1074,DLC_PACHACUTI,Pachacuti,Pachacuti,CRASH,
1075,DLC_HUAYNA_CAPAC,Huayna Capac,Huayna Capac,CRASH,Hero Slinger
1076,DLC_MIKLOSTOLDI,Miklos Toldi,Miklos Toldi,CRASH,Hero Magyar Huszar
1077,DLC_LITTLEJOHN,Little John,Little John,CRASH,Hero Spearman
1078,DLC_ZAWISZATHEBLACK,Zawisza the Black,Zawisza the Black,CRASH,Hero Hussar
1079,,GENITOPLACEHOLDER,GENITOPLACEHOLDER,CRASH,Genitour
1080,DLC_SUMANGURU,Sumanguru,Sumanguru,CRASH,Hero unit (unique graphic)
1081,DLC_STORAGE,Storage,Storage,CRASH,
1082,DLC_AFRICANHUT_A,Hut A,Hut,CRASH,
1083,DLC_AFRICANHUT_B,Hut B,Hut,CRASH,
1084,DLC_AFRICANHUT_C,Hut C,Hut,CRASH,
1085,DLC_AFRICANHUT_D,Hut D,Hut,CRASH,
1086,DLC_AFRICANHUT_E,Hut E,Hut,CRASH,
1087,DLC_AFRICANHUT_F,Hut F,Hut,CRASH,
1088,DLC_AFRICANHUT_G,Hut G,Hut,CRASH,
1089,DLC_GRANARY,Granary,Granary,CRASH,
1090,DLC_BARRICADE,Barricade A,Barricade,CRASH,
1091,DLC_ANIMALSKELETON,Animal Skeleton,Animal Skeleton,CRASH,
1092,DLC_STELAE_A,Stelae A,Stelae A,CRASH,
1093,DLC_STELAE_B,Stelae B,Stelae B,CRASH,
1094,DLC_STELAE_C,Stelae C,Stelae C,CRASH,
1095,DLC_GALLOW,Gallow,Gallow,CRASH,
1096,,Palace,Palace,CRASH,
1097,,Tent A,Tent,CRASH,
1098,,Tent B,Tent,CRASH,
1099,,Tent C,Tent,CRASH,
1100,,Tent D,Tent,CRASH,
1101,,Tent E,Tent,CRASH,
1102,DLC_FORTIFIED_TOWER,Fortified Tower,Sea Fortification,CRASH,must be placed on land; constant only defined in DE
1103,DLC_FIREGALLEY,Fire Galley,Fire Galley,CRASH,
1104,DLC_DEMOLITIONRAFT,Demolition Raft,Demolition Raft,CRASH,
1105,DLC_SIEGETOWER,Siege Tower,Siege Tower,CRASH,
1106,DLC_DAGNAJAN,Dagnajan,Dagnajan,CRASH,Hero unit (unique graphic)
1107,,Siege Tower (Dead),Siege Tower (Dead),CRASH,
1108,,Dagnajan (Dead),Dagnajan (Dead),CRASH,
1109,,Gidajan,Gidajan,CRASH,Hero unit (unique graphic)
1110,,Gidajan (Dead),Gidajan (Dead),CRASH,
1111,,Projectile Light Ballista,Projectile Light Ballista,CRASH,
1112,,Projectile Light Ballista (Fire),Projectile Light Ballista (Fire),CRASH,
1113,,Projectile Heavy Scorpion,Projectile Heavy Scorpion,CRASH,
1114,,Projectile Heavy Scorpion (Fire),Projectile Heavy Scorpion (Fire),CRASH,
1115,,FACAHOLE,FACAHOLE,CRASH,
1116,,Eagle Warrior (Dead),Eagle Warrior (Dead),CRASH,
1117,,Elite Eagle Warrior (Dead),Elite Eagle Warrior (Dead),CRASH,
1118,,Inca llama annex,Inca llama annex,CRASH,
1119,,Projectile Gunpowder (Secondary),MROGN,CRASH,
1120,DLC_BALLISTAELEPHANT,Ballista Elephant,Ballista Elephant,CRASH,
1121,,Ballista Elephant (Dead),Ballista Elephant (Dead),CRASH,
1122,DLC_ELITEBALLISTAELEPHANT,Elite Ballista Elephant,Elite Ballista Elephant,CRASH,
1123,DLC_KARAMBIT,Karambit Warrior,Karambit Warrior,CRASH,
1124,,Karambit Warrior (Dead),Karambit Warrior (Dead),CRASH,
1125,DLC_ELITEKARAMBIT,Elite Karambit Warrior,Elite Karambit Warrior,CRASH,
1126,DLC_ARAMBAI,Arambai,Arambai,CRASH,
1127,,Arambai (Dead),Arambai (Dead),CRASH,
1128,DLC_ELITEARAMBAI,Elite Arambai,Elite Arambai,CRASH,
1129,DLC_RATTANARCHER,Rattan Archer,Rattan Archer,CRASH,
1130,,Rattan Archer (Dead),Rattan Archer (Dead),CRASH,
1131,DLC_ELITERATTANARCHER,Elite Rattan Archer,Elite Rattan Archer,CRASH,
1132,DLC_BATTLEELEPHANT,Battle Elephant,Battle Elephant,CRASH,
1133,,Battle Elephant (Dead),Battle Elephant (Dead),CRASH,
1134,DLC_ELITEBATTLEELEPHANT,Elite Battle Elephant,Elite Battle Elephant,CRASH,
1135,DLC_KOMODO,Komodo Dragon,Komodo Dragon,CRASH,Predator like wolf
1136,,Komodo Dragon (Dead),Komodo Dragon (Dead),CRASH,
1137,DLC_TIGER,Tiger,Tiger,CRASH,Predator like wolf
1138,,Tiger (Dead),Tiger (Dead),CRASH,
1139,DLC_RHINO,Rhinoceros,Rhinoceros,CRASH,"like boar, but 400 food"
1140,,Rhinoceros (Dead),Rhinoceros (Dead),CRASH,
1141,DLC_BOXTURTLE,Box Turtles,Box Turtles,CRASH,like shore fish
1142,DLC_WATERBUFFALO,Water Buffalo,Water Buffalo,CRASH,"herdable like sheep, but 150 food"
1143,,Water Buffalo (Dead),Water Buffalo (Dead),CRASH,
1144,DLC_MANGROVE_TREE,Tree (Mangrove),Mangrove Tree,CRASH,
1145,,Ninja,-,CRASH,
1146,DLC_RAINTREE,Tree (Rainforest),Rainforest Tree,CRASH,
1147,,Ninja (Dead),-,CRASH,
1148,DLC_ROCKBEACH,Rock (Beach),Rock (Beach),CRASH,massive rocky outcropping
1149,DLC_ROCKJUNGLE,Rock (Jungle),Rock (Jungle),CRASH,plant-covered rocks
1150,,Flag G,Flag G,CRASH,
1151,,Flag H,Flag H,CRASH,
1152,,Flag I,Flag I,CRASH,
1153,,Flag J,Flag J,CRASH,
1154,,Elite Battle Elephant (Dead),Elite Battle Elephant (Dead),CRASH,
1155,DLC_IMPERIALSKIRMISHER,Imperial Skirmisher,Imperial Skirmisher,CRASH,
1156,,Imperial Skirmisher (Dead),Imperial Skirmisher (Dead),CRASH,
1157,DLC_GAJAH_MADA,Gajah Mada,Gajah Mada,CRASH,"in HD, use DLC_GADJAH_MADA"
1158,DLC_JAYANEGARA,Jayanegara,Jayanegara,CRASH,Hero King South-East Asia
1159,DLC_RADEN_WIJAYA,Raden Wijaya,Raden Wijaya,CRASH,Hero Cavalier
1160,DLC_SUNDA_ROYAL_FIGHTER,Sunda Royal Fighter,Sunda Royal Fighter,CRASH,
1161,,Sunda Royal Fighter (Dead),Sunda Royal Fighter (Dead),CRASH,
1162,DLC_SURYAVARMAN_I,Suryavarman I,Suryavarman I,CRASH,Hero Elite Battle Elephant
1163,DLC_UDAYADITYAVARMAN_I,Udayadityavarman I,Udayadityavarman I,CRASH,Hero King South-East Asia
1164,DLC_JAYAVIRAVARMAN,Jayaviravarman,Jayaviravarman,CRASH,Hero Karambit Warrior
1165,DLC_BAYINNAUNG,Bayinnaung,Bayinnaung,CRASH,Hero Elite Battle Elephant
1166,DLC_TABINSHWEHTI,Tabinshwehti,Tabinshwehti,CRASH,Hero Elephant Archer
1167,,Projectile Ballista Elephant,Projectile Ballista Elephant,CRASH,
1168,,Projectile Ballista Elephant (Fire),Projectile Ballista Elephant (Fire),CRASH,
1169,,Projectile Arambai,Projectile Arambai,CRASH,
1170,,Projectile Arambai (Fire),Projectile Arambai (Fire),CRASH,
1171,DLC_BUDDHA_STATUE_A,Buddha Statue A,Buddha Statue A,CRASH,
1172,DLC_BUDDHA_STATUE_B,Buddha Statue B,Buddha Statue B,CRASH,
1173,DLC_BUDDHA_STATUE_C,Buddha Statue C,Buddha Statue C,CRASH,
1174,DLC_BUDDHA_STATUE_D,Buddha Statue D,Buddha Statue D,CRASH,
1175,DLC_FERN_PATCH,Fern Patch,Fern Patch,CRASH,
1176,DLC_TROWULAN_GATE,Trowulan Gate,Trowulan Gate,CRASH,
1177,DLC_VASES,Vases,Vases,CRASH,
1178,DLC_LELOI,Le Loi,Le Loi,CRASH,
1179,DLC_LELAI1,Le Lai,Le Lai,CRASH,Hero Champion
1180,DLC_LELAI2,Le Lai,Le Lai,CRASH,
1181,DLC_LETRIEN,Le Trien,Le Trien,CRASH,Hero Champion
1182,DLC_LUUNHANCHU,Luu Nhan Chu,Luu Nhan Chu,CRASH,Hero Arbalest
1183,DLC_BUIBI,Bui Bi,Bui Bi,CRASH,Hero Monk Asia
1184,DLC_DINHLE,Dinh Le,Dihn Le,CRASH,
1185,DLC_WANGTONG,Wang Tong,Wang Tong,CRASH,
1186,DLC_ENVOY,Envoy,Envoy,CRASH,Hero Light Cavalry
1187,,Rice Farm,Rice Farm,CRASH,
1188,,Rice Farm (Dead),Rice Farm (Dead),CRASH,
1189,,Harbor,Harbor,CRASH,shoots arrows
1190,,Gajah Mada (Dead),Gajah Mada (Dead),CRASH,
1191,,Stupa,Stupa,CRASH,
1192,,Gate,Villager Male Farmer,CRASH,
1193,,FARMDROP,FARMDROP,CRASH,
1194,,FARMSTACK,FARMSTACK,CRASH,
1195,,RFARMDROP,RFARMDROP,CRASH,
1196,,Army Tent A,Army Tent,CRASH,
1197,,Army Tent B,Army Tent,CRASH,
1198,,Army Tent C,Army Tent,CRASH,
1199,,Army Tent D,Army Tent,CRASH,
1200,,Army Tent E,Army Tent,CRASH,
